Автор,Повне ім'я,Рік народження,Рік смерті,Місце народження (населений пункт),Район,Регіон1,URL,Рідна мова,Стать,Місце народження,Регіон
Микола Дашкієв,Дашкієв Микола Олександрович,1921.0,1976.0,Краснокутськ,Богодухівський,Харківська,https://uk.wikipedia.org/wiki/%D0%94%D0%B0%D1%88%D0%BA%D1%96%D1%94%D0%B2_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Наталка Сняданко,Сняданко Наталя Володимирівна,1973.0,,Львів,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%A1%D0%BD%D1%8F%D0%B4%D0%B0%D0%BD%D0%BA%D0%BE_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8F_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Юрій Андрухович,Андрухович Юрій Ігорович,1960.0,,Станіслав,Херсонський,Херсонська,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%85%D0%BE%D0%B2%D0%B8%D1%87_%D0%AE%D1%80%D1%96%D0%B9_%D0%86%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Оксана Іваненко,Іваненко Оксана Дмитрівна,1906.0,1997.0,Полтава,Полтавський,Полтавська,https://uk.wikipedia.org/wiki/%D0%86%D0%B2%D0%B0%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BA%D1%81%D0%B0%D0%BD%D0%B0_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Володимир Владко,Владко Володимир Миколайович,1900.0,1974.0,Санкт-Петербург,Північно-Західний федеральний округ,Росія,https://uk.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%B4%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,
Люко Дашвар,Люко Дашвар,1954.0,,Херсон,Херсонський,Херсонська,https://uk.wikipedia.org/wiki/%D0%9B%D1%8E%D0%BA%D0%BE_%D0%94%D0%B0%D1%88%D0%B2%D0%B0%D1%80,UK,M,,
Євгенія Кононенко,Кононенко Євгенія Анатоліївна,1959.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D0%BE%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D1%96%D1%8F_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,F,,
Брати Капранови,Брати Капранови,1967.0,2024.0,Дубоссари,Дубосарська міська рада,Молдова,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D0%B8_%D0%9A%D0%B0%D0%BF%D1%80%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8,RO,M,,
Василь Шкляр,Шкляр Василь Миколайович,1951.0,,Ганжалівка,Звенигородський,Черкаська,https://uk.wikipedia.org/wiki/%D0%A8%D0%BA%D0%BB%D1%8F%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олександр Терех,Терех Олександр Іванович,1928.0,2013.0,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B5%D1%85_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Докія Гуменна,Гуменна Докія Кузьмівна,1904.0,1996.0,Жашків,Уманський,Черкаська,https://uk.wikipedia.org/wiki/%D0%93%D1%83%D0%BC%D0%B5%D0%BD%D0%BD%D0%B0_%D0%94%D0%BE%D0%BA%D1%96%D1%8F_%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Петро Масляк,Масляк Петро Миколайович,1929.0,2016.0,,,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D0%BB%D1%8F%D0%BA_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,M,,
Валер'ян Підмогильний,Підмогильний Валер'ян Петрович,1901.0,1937.0,Чаплі,Самбірський,Львівська,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B4%D0%BC%D0%BE%D0%B3%D0%B8%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%27%D1%8F%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,
Роман Осадчук,Осадчук Роман Петрович,1967.0,,Одеса,Одеський,Одеська,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D0%B0%D0%B4%D1%87%D1%83%D0%BA_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Юрій Покальчук,Покальчук Юрій Володимирович,1941.0,2008.0,Кременець,Кременецький,Тернопільська,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B0%D0%BB%D1%8C%D1%87%D1%83%D0%BA_%D0%AE%D1%80%D1%96%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Володимир Тертишник,Тертишник Володимир Митрофанович,1953.0,,Грунь,Божія,Румунія,https://uk.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D1%82%D0%B8%D1%88%D0%BD%D0%B8%D0%BA_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%82%D1%80%D0%BE%D1%84%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Михайло Стельмах,Стельмах Михайло Панасович,1912.0,1983.0,Дяківці,Вінницький,Вінницька,https://uk.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BB%D1%8C%D0%BC%D0%B0%D1%85_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9F%D0%B0%D0%BD%D0%B0%D1%81%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Любко Дереш,Любко Дереш,1984.0,,Пустомити,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BA%D0%BE_%D0%94%D0%B5%D1%80%D0%B5%D1%88,UK,M,,
Володимир Леонтович,Леонтович Володимир Миколайович,1866.0,1933.0,Оріхівка,Лубенський,Полтавська,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%D0%B8%D1%87_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Іван Рябчій,Рябчій Іван Сергійович,1978.0,,Кам’янське,Кам'янський,Дніпропетровська,https://uk.wikipedia.org/wiki/%D0%A0%D1%8F%D0%B1%D1%87%D1%96%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
